t,m,p,error_norm,h
0.0000000000,0.6700000000,14.8000000000,0.0000000000,0.0000000000
0.0600150038,0.6618830115,14.6325808812,0.0000066667,0.0446001638
0.1200300075,0.6538739559,14.4672585300,0.0000684247,0.0709347142
0.1800450113,0.6459716165,14.3040066866,0.0002857479,0.0942072817
0.2400600150,0.6381747943,14.1427994196,0.0002857479,0.0942072817
0.3000750188,0.6304823078,13.9836111226,0.0011178596,0.1233975015
0.3600900225,0.6228929932,13.8264165101,0.0011178596,0.1233975015
0.4201050263,0.6154057037,13.6711906129,0.0029913229,0.1497108595
0.4801200300,0.6080193101,13.5179087747,0.0029913229,0.1497108595
0.5401350338,0.6007326995,13.3665466481,0.0069649728,0.1765004970
0.6001500375,0.5935447763,13.2170801901,0.0069649728,0.1765004970
0.6601650413,0.5864544612,13.0694856599,0.0069649728,0.1765004970
0.7201800450,0.5794606915,12.9237396130,0.0133632371,0.2000086535
0.7801950488,0.5725624204,12.7798188982,0.0133632371,0.2000086535
0.8402100525,0.5657586178,12.6377006563,0.0133632371,0.2000086535
0.9002250563,0.5590482690,12.4973623125,0.0133632371,0.2000086535
0.9602400600,0.5524303753,12.3587815742,0.0228972576,0.2213590158
1.0202550638,0.5459039536,12.2219364301,0.0228972576,0.2213590158
1.0802700675,0.5394680363,12.0868051442,0.0228972576,0.2213590158
1.1402850713,0.5331216710,11.9533662507,0.0351081836,0.2393552583
1.2003000750,0.5268639205,11.8215985534,0.0351081836,0.2393552583
1.2603150788,0.5206938627,11.6914811238,0.0351081836,0.2393552583
1.3203300825,0.5146105903,11.5629932941,0.0351081836,0.2393552583
1.3803450863,0.5086132107,11.4361146536,0.0454718889,0.2500000000
1.4403600900,0.5027008457,11.3108250481,0.0454718889,0.2500000000
1.5003750938,0.4968726320,11.1871045783,0.0454718889,0.2500000000
1.5603900975,0.4911277201,11.0649335927,0.0454718889,0.2500000000
1.6204051013,0.4854652750,10.9442926838,0.0454718889,0.2500000000
1.6804201050,0.4798844753,10.8251626881,0.0475129665,0.2500000000
1.7404351088,0.4743845138,10.7075246845,0.0475129665,0.2500000000
1.8004501125,0.4689645971,10.5913599878,0.0475129665,0.2500000000
1.8604651163,0.4636239452,10.4766501451,0.0475129665,0.2500000000
1.9204801200,0.4583617915,10.3633769345,0.0498208315,0.2500000000
1.9804951238,0.4531773829,10.2515223649,0.0498208315,0.2500000000
2.0405101275,0.4480699796,10.1410686702,0.0498208315,0.2500000000
2.1005251313,0.4430388547,10.0319983046,0.0498208315,0.2500000000
2.1605401350,0.4380832941,9.9242939423,0.0524182203,0.2500000000
2.2205551388,0.4332025969,9.8179384759,0.0524182203,0.2500000000
2.2805701425,0.4283960746,9.7129150133,0.0524182203,0.2500000000
2.3405851463,0.4236630516,9.6092068714,0.0524182203,0.2500000000
2.4006001500,0.4190028642,9.5067975762,0.0553269062,0.2500000000
2.4606151538,0.4144148615,9.4056708608,0.0553269062,0.2500000000
2.5206301575,0.4098984047,9.3058106638,0.0553269062,0.2500000000
