t,y0,y1,y2,error_norm,h
0.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000
0.0100010001,1.0125682069,1.2599461236,0.9848896942,0.0792129109,0.0023533681
0.0200020002,1.0488309608,1.5240544993,0.9731123457,0.1100405981,0.0026932370
0.0300030003,1.1072270166,1.7983990255,0.9651573436,0.1184640752,0.0028860084
0.0400040004,1.1869015360,2.0886655948,0.9617370222,0.1162661900,0.0031030091
0.0500050005,1.2876104089,2.4003225189,0.9638087889,0.1042547408,0.0032218807
0.0600060006,1.4096485678,2.7387642832,0.9726158651,0.1141907109,0.0034791771
0.0700070007,1.5537977010,3.1094330388,0.9897465230,0.1055783534,0.0036139962
0.0800080008,1.7212895456,3.5179205860,1.0172132833,0.1091148732,0.0037477016
0.0900090009,1.9137814843,3.9700518667,1.0575548381,0.1267678842,0.0039872521
0.1000100010,2.1333414882,4.4719490535,1.1139645786,0.1312307064,0.0040819318
0.1100110011,2.3824395339,5.0300730395,1.1904505986,0.1284253675,0.0040819318
0.1200120012,2.6639424612,5.6512362605,1.2920328238,0.1279343494,0.0040819318
0.1300130013,2.9811087783,6.3425771633,1.4249834004,0.1302907342,0.0040819318
0.1400140014,3.3375791137,7.1114818814,1.5971163069,0.1337123352,0.0040819318
0.1500150015,3.7373567686,7.9654326184,1.8181309596,0.1419339565,0.0040819318
0.1600160016,4.1847710369,8.9117545066,2.1000114404,0.1498375209,0.0040819318
0.1700170017,4.6844135278,9.9572232147,2.4574769360,0.1658891889,0.0040819318
0.1800180018,5.2410345484,11.1074846133,2.9084680469,0.1794462771,0.0040819318
0.1900190019,5.8593826176,12.3662261051,3.4746357554,0.2031720757,0.0040819318
0.2000200020,6.5439655726,13.7340294207,4.1817717010,0.2198137916,0.0040819318
0.2100210021,7.2987068023,15.2068308686,5.0600768352,0.2350351501,0.0040819318
0.2200220022,8.1264660160,16.7739257938,6.1441075316,0.2238672656,0.0039971174
0.2300230023,9.0283923750,18.4154920116,7.4721636035,0.2214852931,0.0039971174
0.2400240024,10.0030821123,20.0996912643,9.0847979367,0.1903278941,0.0039971174
0.2500250025,11.0455278351,21.7795615811,11.0220521560,0.1437644622,0.0039971174
0.2600260026,12.1458792072,23.3901574774,13.3189981951,0.1067921999,0.0044230374
0.2700270027,13.2880919948,24.8467318748,15.9992632109,0.2560677072,0.0042893176
0.2800280028,14.4486292241,26.0451377143,19.0665318429,0.3376630170,0.0037374631
0.2900290029,15.5954907166,26.8659248736,22.4946554094,0.3267751313,0.0034448336
0.3000300030,16.6879634257,27.1835717997,26.2179722307,0.2895714716,0.0031175290
0.3100310031,17.6775574076,26.8815884778,30.1245926208,0.2462029825,0.0028343744
0.3200320032,18.5105470577,25.8726035499,34.0562428445,0.2498008401,0.0027523156
0.3300330033,19.1323000032,24.1201249765,37.8180356446,0.2356722341,0.0026186008
0.3400340034,19.4931214152,21.6562473816,41.1995294042,0.2344154007,0.0025035027
0.3500350035,19.5547581688,18.5886209692,44.0046572500,0.2367056135,0.0023897332
0.3600360036,19.2962174678,15.0918706633,46.0838321734,0.2195347391,0.0022301599
0.3700370037,18.7174384409,11.3834533608,47.3590822738,0.2337159264,0.0021843844
0.3800380038,17.8397785795,7.6897634966,47.8343993629,0.2243170459,0.0020950427
0.3900390039,16.7031389861,4.2120711256,47.5885111639,0.2234708638,0.0020070142
0.4000400040,15.3604970612,1.1014660125,46.7535360525,0.2942092200,0.0018474087
0.4100410041,13.8712345298,-1.5521997406,45.4872080584,0.0878512547,0.0018379318
0.4200420042,12.2947280948,-3.7177755694,43.9468208637,0.0633858084,0.0024394831
0.4300430043,10.6852838220,-5.4109840999,42.2703749656,0.0671514830,0.0029271826
0.4400440044,9.0889050057,-6.6787936926,40.5666790553,0.0914012076,0.0033512396
0.4500450045,7.5418502911,-7.5844686875,38.9132126678,0.1335878101,0.0035266784
0.4600460046,6.0706089349,-8.1958233490,37.3591656970,0.1766341640,0.0035266784
0.4700470047,4.6928062608,-8.5774071083,35.9310141070,0.2173146615,0.0035266784
0.4800480048,3.4185906838,-8.7862019943,34.6386484318,0.2245506702,0.0034533118
0.4900490049,2.2521642378,-8.8699286158,33.4808880983,0.2272035591,0.0033813321
0.5000500050,1.1932410335,-8.8670205466,32.4498826037,0.2451358585,0.0033041384
0.5100510051,0.2383203332,-8.8075065161,31.5343294039,0.3510482351,0.0030616390
0.5200520052,-0.6182672261,-8.7142740068,30.7216571230,0.0890482905,0.0031583187
0.5300530053,-1.3835380614,-8.6043942723,29.9993994862,0.0807628429,0.0039989791
0.5400540054,-2.0652340570,-8.4903401239,29.3559836229,0.1282322756,0.0039989791
0.5500550055,-2.6713677101,-8.3810256530,28.7811203442,0.1375063738,0.0039989791
0.5600560056,-3.2099001683,-8.2826535329,28.2659393193,0.1357475414,0.0039989791
0.5700570057,-3.6885217653,-8.1993842114,27.8029710267,0.1296678345,0.0039989791
0.5800580058,-4.1145095342,-8.1338529915,27.3860444447,0.1307794339,0.0040852032
0.5900590059,-4.4946412983,-8.0875633385,27.0101449750,0.1349925694,0.0041764625
0.6000600060,-4.8351504401,-8.0611825427,26.6712599512,0.1372559936,0.0042644095
0.6100610061,-5.1417093151,-8.0547618787,26.3662274851,0.1314163827,0.0043522097
0.6200620062,-5.4194322730,-8.0678991203,26.0925969170,0.1311051441,0.0044420717
0.6300630063,-5.6728916533,-8.0998573819,25.8485043985,0.1303045020,0.0045355385
0.6400640064,-5.9061419013,-8.1496510005,25.6325643334,0.1291955073,0.0046337225
