t,y0,y1,y2,error_norm,h
0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1001001001,0.9960738985,0.0000358037,0.0038902978,0.1368483054,0.0101735576
0.2002002002,0.9922985381,0.0000351217,0.0076663402,0.1805739644,0.0123625495
0.3003003003,0.9886632331,0.0000344753,0.0113022917,0.1943756244,0.0135197225
0.4004004004,0.9851583422,0.0000338615,0.0148077962,0.1935667160,0.0140785504
0.5005005005,0.9817751472,0.0000332780,0.0181915748,0.1939554422,0.0146595427
0.6006006006,0.9785057417,0.0000327225,0.0214615358,0.1950479724,0.0152662921
0.7007007007,0.9753429369,0.0000321929,0.0246248702,0.1900800292,0.0155771102
0.8008008008,0.9722801795,0.0000316873,0.0276881332,0.1917511670,0.0162245914
0.9009009009,0.9693114812,0.0000312041,0.0306573147,0.1960297196,0.0169043629
1.0010010010,0.9664313576,0.0000307418,0.0335379007,0.1913623034,0.0172561922
1.1011011011,0.9636347743,0.0000302989,0.0363349269,0.1971949586,0.0179574835
1.2012012012,0.9609171007,0.0000298742,0.0390530251,0.1922258388,0.0183235464
1.3013013013,0.9582740689,0.0000294666,0.0416964645,0.1897181324,0.0186997414
1.4014014014,0.9557017378,0.0000290750,0.0442691872,0.1936075785,0.0194829159
1.5015015015,0.9531964615,0.0000286984,0.0467748401,0.1906162646,0.0198734761
1.6016016016,0.9507548609,0.0000283359,0.0492168032,0.1964539801,0.0206942848
1.7017017017,0.9483737995,0.0000279867,0.0515982138,0.1960033566,0.0211240972
1.8018018018,0.9460503605,0.0000276501,0.0539219894,0.1927017253,0.0215483165
1.9019019019,0.9437818281,0.0000273253,0.0561908466,0.1896942406,0.0219884811
2.0020020020,0.9415656691,0.0000270117,0.0584073192,0.1974952400,0.0228948510
2.1021021021,0.9393995177,0.0000267086,0.0605737737,0.1966152014,0.0233639234
2.2022022022,0.9372811611,0.0000264156,0.0626924233,0.1934223983,0.0238506090
2.3023023023,0.9352085271,0.0000261321,0.0647653408,0.1922764252,0.0243329071
2.4024024024,0.9331796725,0.0000258576,0.0667944699,0.1913424095,0.0248357238
2.5025025025,0.9311927731,0.0000255917,0.0687816353,0.1900675929,0.0253353615
2.6026026026,0.9292461138,0.0000253339,0.0707285523,0.1974385277,0.0263779158
2.7027027027,0.9273380809,0.0000250838,0.0726368352,0.1962535679,0.0269229047
